LinkID,Location,MaximumSpeed,MinimumSpeed,RoadCategory,RoadName,SpeedBand,Extract Time
103000000,1.3170142376560023 103.85298052044503 1.3166840028663076 103.85259882242372,59,50,E,KENT ROAD,6,"10/15/2022, 06:55:38"
103000010,1.3166507852203482 103.84102305136321 1.316912438354752 103.84022564204443,29,20,E,BUCKLEY ROAD,3,"10/15/2022, 06:55:38"
103000011,1.316912438354752 103.84022564204443 1.3166507852203482 103.84102305136321,29,20,E,BUCKLEY ROAD,3,"10/15/2022, 06:55:38"
103000014,1.3186726294030418 103.84700267615683 1.3180212058893457 103.84711392225329,49,40,E,SHREWSBURY ROAD,5,"10/15/2022, 06:55:38"
103000015,1.3180212058893457 103.84711392225329 1.3186726294030418 103.84700267615683,39,30,E,SHREWSBURY ROAD,4,"10/15/2022, 06:55:38"
103000018,1.3157770120574521 103.84426743639843 1.3159796416371992 103.84479180450104,49,40,E,JALAN KORMA,5,"10/15/2022, 06:55:38"
103000019,1.3159796416371992 103.84479180450104 1.3157770120574521 103.84426743639843,49,40,E,JALAN KORMA,5,"10/15/2022, 06:55:38"
103000022,1.3157638139947652 103.85346718361517 1.3159850985084538 103.8540099459191,39,30,E,SING AVENUE,4,"10/15/2022, 06:55:38"
103000023,1.3159850985084538 103.8540099459191 1.3157638139947652 103.85346718361517,39,30,E,SING AVENUE,4,"10/15/2022, 06:55:38"
103000026,1.3193495076454247 103.84576595796847 1.3193341206043803 103.84649970636902,49,40,E,MOULMEIN RISE,5,"10/15/2022, 06:55:38"
103000027,1.3193341206043803 103.84649970636902 1.3193495076454247 103.84576595796847,39,30,E,MOULMEIN RISE,4,"10/15/2022, 06:55:38"
103000030,1.3187614079491163 103.84584773223746 1.3184775003743368 103.845922903644,39,30,E,SINARAN DRIVE,4,"10/15/2022, 06:55:38"
103000031,1.3184775003743368 103.845922903644 1.3187614079491163 103.84584773223746,49,40,E,SINARAN DRIVE,5,"10/15/2022, 06:55:38"
103000034,1.3095165181658415 103.85444503278327 1.3102490949407017 103.85489147379481,69,60,E,LEMBU ROAD,7,"10/15/2022, 06:55:38"
103000035,1.3102490949407017 103.85489147379481 1.3095165181658415 103.85444503278327,59,50,E,LEMBU ROAD,6,"10/15/2022, 06:55:38"
103000036,1.3095165181658415 103.85444503278327 1.3098257335080767 103.85396567774879,39,30,E,DESKER ROAD,4,"10/15/2022, 06:55:38"
103000040,1.3094817613742067 103.85571657719505 1.3100415318076366 103.85617487784177,39,30,D,VERDUN ROAD,4,"10/15/2022, 06:55:38"
103000044,1.3102490949407017 103.85489147379481 1.3094817613742067 103.85571657719505,69,60,E,SYED ALWI ROAD,7,"10/15/2022, 06:55:38"
103000050,1.3040240949630044 103.82435328722222 1.3035181120546362 103.82439062361162,29,20,E,ORCHARD SPRING LANE,3,"10/15/2022, 06:55:38"
103000051,1.3035181120546362 103.82439062361162 1.3040240949630044 103.82435328722222,29,20,E,ORCHARD SPRING LANE,3,"10/15/2022, 06:55:38"
103000054,1.2977954689273836 103.81184137776128 1.2979363108403927 103.81139535719257,19,10,E,KAY SIANG ROAD,2,"10/15/2022, 06:55:38"
103000055,1.2979363108403927 103.81139535719257 1.2977954689273836 103.81184137776128,29,20,E,KAY SIANG ROAD,3,"10/15/2022, 06:55:38"
103000056,1.3235238431328136 103.8508428681823 1.3241924351833945 103.85149036161232,999,70,E,MARTABAN ROAD,8,"10/15/2022, 06:55:38"
103000062,1.3235238431328136 103.8508428681823 1.3242848802266947 103.85008775600024,999,70,E,MARTABAN ROAD,8,"10/15/2022, 06:55:38"
103000063,1.3242848802266947 103.85008775600024 1.3235238431328136 103.8508428681823,999,70,E,MARTABAN ROAD,8,"10/15/2022, 06:55:38"
103000066,1.319450709571759 103.84838600107199 1.3202305802943324 103.84823264087314,39,30,E,JALAN TAN TOCK SENG,4,"10/15/2022, 06:55:38"
103000067,1.3202305802943324 103.84823264087314 1.319450709571759 103.84838600107199,39,30,E,JALAN TAN TOCK SENG,4,"10/15/2022, 06:55:38"
103000068,1.3020505931348514 103.84753501033079 1.3020981998994814 103.84735684695016,39,30,E,SOPHIA ROAD,4,"10/15/2022, 06:55:38"
103000072,1.3020478491197238 103.85929118664532 1.3024623974822258 103.85961424505442,29,20,E,MUSCAT STREET,3,"10/15/2022, 06:55:38"
103000078,1.3479138498233316 103.6923894384768 1.3491170726830268 103.69342360283092,999,70,A,PAN ISLAND EXPRESSWAY,8,"10/15/2022, 06:55:38"
103000079,1.3491170726830268 103.69342360283092 1.3479138498233316 103.6923894384768,999,70,A,PAN ISLAND EXPRESSWAY,8,"10/15/2022, 06:55:38"
103000080,1.3436196253925365 103.78499221155269 1.3431444683048892 103.78388724345461,999,70,A,PAN ISLAND EXPRESSWAY,8,"10/15/2022, 06:55:38"
103000086,1.3009014346769388 103.90150591557894 1.3000155854751687 103.90006277560406,29,20,C,AMBER ROAD,3,"10/15/2022, 06:55:38"
103000087,1.3000155854751687 103.90006277560406 1.3009014346769388 103.90150591557894,39,30,C,AMBER ROAD,4,"10/15/2022, 06:55:38"
103000090,1.3795549789334551 103.83982137005759 1.3778764702530613 103.83969577191468,39,30,C,ANG MO KIO AVENUE 4,4,"10/15/2022, 06:55:38"
103000091,1.3778764702530613 103.83969577191468 1.3795549789334551 103.83982137005759,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000094,1.302018104115238 103.82687869301155 1.3025271098303324 103.82774617488765,29,20,E,JALAN TUPAI,3,"10/15/2022, 06:55:38"
103000095,1.3025271098303324 103.82774617488765 1.302018104115238 103.82687869301155,49,40,E,JALAN TUPAI,5,"10/15/2022, 06:55:38"
103000098,1.3034535281731428 103.82621354051224 1.302018104115238 103.82687869301155,39,30,D,TOMLINSON ROAD,4,"10/15/2022, 06:55:38"
103000099,1.302018104115238 103.82687869301155 1.3034535281731428 103.82621354051224,29,20,D,TOMLINSON ROAD,3,"10/15/2022, 06:55:38"
103000106,1.3185208604394962 103.8497306240015 1.3182839067307601 103.8484896779184,999,70,E,SHREWSBURY ROAD,8,"10/15/2022, 06:55:38"
103000107,1.3182839067307601 103.8484896779184 1.3185208604394962 103.8497306240015,29,20,E,SHREWSBURY ROAD,3,"10/15/2022, 06:55:38"
103000110,1.2771369059505562 103.81040355919788 1.277633353991097 103.80909264308315,39,30,D,TELOK BLANGAH HEIGHTS,4,"10/15/2022, 06:55:38"
103000111,1.277633353991097 103.80909264308315 1.2771369059505562 103.81040355919788,39,30,D,TELOK BLANGAH HEIGHTS,4,"10/15/2022, 06:55:38"
103000114,1.277633353991097 103.80909264308315 1.2780189431917124 103.80767112662544,39,30,D,TELOK BLANGAH HEIGHTS,4,"10/15/2022, 06:55:38"
103000115,1.2780189431917124 103.80767112662544 1.277633353991097 103.80909264308315,39,30,D,TELOK BLANGAH HEIGHTS,4,"10/15/2022, 06:55:38"
103000118,1.2765900388648779 103.81171237266507 1.276042945010033 103.81302172471231,29,20,D,TELOK BLANGAH HEIGHTS,3,"10/15/2022, 06:55:38"
103000119,1.276042945010033 103.81302172471231 1.2765900388648779 103.81171237266507,39,30,D,TELOK BLANGAH HEIGHTS,4,"10/15/2022, 06:55:38"
103000122,1.350438528643087 103.69440892471033 1.3517801862142893 103.69536755921838,999,70,A,PAN ISLAND EXPRESSWAY,8,"10/15/2022, 06:55:38"
103000123,1.3517801862142893 103.69536755921838 1.350438528643087 103.69440892471033,999,70,A,PAN ISLAND EXPRESSWAY,8,"10/15/2022, 06:55:38"
103000124,1.3022604164237386 103.88515409863628 1.3020018334230383 103.88506135448995,39,30,F,WILKINSON ROAD,4,"10/15/2022, 06:55:38"
103000128,1.3021332006151927 103.84859614838282 1.3019803247888424 103.84892228360394,19,10,E,WILKIE ROAD,2,"10/15/2022, 06:55:38"
103000134,1.3023326560971626 103.8192445570385 1.3019259729917443 103.8193666357108,39,30,D,CAMP ROAD,4,"10/15/2022, 06:55:38"
103000135,1.3019259729917443 103.8193666357108 1.3023326560971626 103.8192445570385,39,30,D,CAMP ROAD,4,"10/15/2022, 06:55:38"
103000138,1.3019154913408086 103.82562409886084 1.3021005061138486 103.82556786730588,59,50,E,LENGKOK MERAK,6,"10/15/2022, 06:55:38"
103000139,1.3021005061138486 103.82556786730588 1.3019154913408086 103.82562409886084,59,50,E,LENGKOK MERAK,6,"10/15/2022, 06:55:38"
103000142,1.30277750949525 103.81714881291575 1.301902777906714 103.81671018445115,39,30,E,TANGLIN WALK,4,"10/15/2022, 06:55:38"
103000143,1.301902777906714 103.81671018445115 1.30277750949525 103.81714881291575,39,30,E,TANGLIN WALK,4,"10/15/2022, 06:55:38"
103000146,1.301902777906714 103.81671018445115 1.3020760157371165 103.81636988608547,39,30,E,TANGLIN HILL,4,"10/15/2022, 06:55:38"
103000147,1.3020760157371165 103.81636988608547 1.301902777906714 103.81671018445115,19,10,E,TANGLIN HILL,2,"10/15/2022, 06:55:38"
103000148,1.3020505931348514 103.84753501033079 1.3018924565367096 103.84742450630118,39,30,E,SOPHIA ROAD,4,"10/15/2022, 06:55:38"
103000152,1.3018924565367096 103.84742450630118 1.3020981998994814 103.84735684695016,29,20,E,ADIS ROAD,3,"10/15/2022, 06:55:38"
103000156,1.3018714301953633 103.84120126880777 1.3024590972915757 103.84059908315483,999,70,B,KRAMAT ROAD,8,"10/15/2022, 06:55:38"
103000162,1.3223315936500188 103.84782453064221 1.323225112339397 103.84825791705197,49,40,E,AKYAB ROAD,5,"10/15/2022, 06:55:38"
103000163,1.323225112339397 103.84825791705197 1.3223315936500188 103.84782453064221,39,30,E,AKYAB ROAD,4,"10/15/2022, 06:55:38"
103000166,1.3158766228467986 103.8525278217439 1.3154336431941307 103.853008273284,39,30,E,OXFORD ROAD,4,"10/15/2022, 06:55:38"
103000167,1.3154336431941307 103.853008273284 1.3158766228467986 103.8525278217439,39,30,E,OXFORD ROAD,4,"10/15/2022, 06:55:38"
103000170,1.315899168782131 103.85944206093603 1.3154021442041506 103.85980837679445,999,70,E,KEMPAS ROAD,8,"10/15/2022, 06:55:38"
103000171,1.3154021442041506 103.85980837679445 1.315899168782131 103.85944206093603,999,70,E,KEMPAS ROAD,8,"10/15/2022, 06:55:38"
103000174,1.3157770120574521 103.84426743639843 1.3156603053759763 103.84390320841796,19,10,E,JALAN KORMA,2,"10/15/2022, 06:55:38"
103000175,1.3156603053759763 103.84390320841796 1.3157770120574521 103.84426743639843,19,10,E,JALAN KORMA,2,"10/15/2022, 06:55:38"
103000176,1.3098922536055888 103.83345390955975 1.3097312042342106 103.83404900921593,39,30,F,STEVENS ROAD,4,"10/15/2022, 06:55:38"
103000182,1.3095892684441353 103.82839685211003 1.3097460950865234 103.82879350703922,19,10,D,ARDMORE PARK,2,"10/15/2022, 06:55:38"
103000183,1.3097460950865234 103.82879350703922 1.3095892684441353 103.82839685211003,49,40,D,ARDMORE PARK,5,"10/15/2022, 06:55:38"
103000186,1.3095892684441353 103.82839685211003 1.3102253421678596 103.82740509577657,29,20,D,ARDMORE PARK,3,"10/15/2022, 06:55:38"
103000187,1.3102253421678596 103.82740509577657 1.3095892684441353 103.82839685211003,39,30,D,ARDMORE PARK,4,"10/15/2022, 06:55:38"
103000190,1.310468565405978 103.8376076936921 1.3095693665135413 103.8362897642633,19,10,E,ANTHONY ROAD,2,"10/15/2022, 06:55:38"
103000191,1.3095693665135413 103.8362897642633 1.310468565405978 103.8376076936921,49,40,E,ANTHONY ROAD,5,"10/15/2022, 06:55:38"
103000194,1.3095693665135413 103.8362897642633 1.310692335045372 103.83555854453066,39,30,C,CAIRNHILL ROAD,4,"10/15/2022, 06:55:38"
103000195,1.310692335045372 103.83555854453066 1.3095693665135413 103.8362897642633,49,40,C,CAIRNHILL ROAD,5,"10/15/2022, 06:55:38"
103000198,1.3156794372910703 103.85925389319206 1.315899168782131 103.85944206093603,69,60,E,KEMPAS ROAD,7,"10/15/2022, 06:55:38"
103000199,1.315899168782131 103.85944206093603 1.3156794372910703 103.85925389319206,39,30,E,KEMPAS ROAD,4,"10/15/2022, 06:55:38"
103000202,1.3778764702530613 103.83969577191468 1.377082366481272 103.8395587643731,29,20,C,ANG MO KIO AVENUE 4,3,"10/15/2022, 06:55:38"
103000203,1.377082366481272 103.8395587643731 1.3778764702530613 103.83969577191468,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000206,1.3765237228546703 103.83946526641823 1.377082366481272 103.8395587643731,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000207,1.377082366481272 103.8395587643731 1.3765237228546703 103.83946526641823,29,20,C,ANG MO KIO AVENUE 4,3,"10/15/2022, 06:55:38"
103000210,1.3835254500944634 103.83770121892717 1.38338023612439 103.83781517599795,29,20,C,ANG MO KIO AVENUE 4,3,"10/15/2022, 06:55:38"
103000211,1.38338023612439 103.83781517599795 1.3835254500944634 103.83770121892717,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000214,1.38338023612439 103.83781517599795 1.3822793699880447 103.83863653439964,29,20,C,ANG MO KIO AVENUE 4,3,"10/15/2022, 06:55:38"
103000215,1.3822793699880447 103.83863653439964 1.38338023612439 103.83781517599795,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000218,1.3840112390167347 103.83732856251386 1.3835254500944634 103.83770121892717,29,20,C,ANG MO KIO AVENUE 4,3,"10/15/2022, 06:55:38"
103000219,1.3835254500944634 103.83770121892717 1.3840112390167347 103.83732856251386,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000222,1.3777027981180603 103.84756217854924 1.3771978910136298 103.84765705588656,39,30,C,ANG MO KIO AVENUE 8,4,"10/15/2022, 06:55:38"
103000223,1.3771978910136298 103.84765705588656 1.3777027981180603 103.84756217854924,29,20,C,ANG MO KIO AVENUE 8,3,"10/15/2022, 06:55:38"
103000226,1.3771978910136298 103.84765705588656 1.376730487972268 103.84773795161581,19,10,C,ANG MO KIO AVENUE 8,2,"10/15/2022, 06:55:38"
103000227,1.376730487972268 103.84773795161581 1.3771978910136298 103.84765705588656,29,20,C,ANG MO KIO AVENUE 8,3,"10/15/2022, 06:55:38"
103000228,1.3133901063939397 103.85032404665321 1.3129765172117367 103.84974217909104,19,10,D,DORSET ROAD,2,"10/15/2022, 06:55:38"
103000234,1.3839740978654103 103.84313695546383 1.3838894069258951 103.8424480441498,29,20,D,ANG MO KIO AVENUE 9,3,"10/15/2022, 06:55:38"
103000235,1.3838894069258951 103.8424480441498 1.3839740978654103 103.84313695546383,49,40,D,ANG MO KIO AVENUE 9,5,"10/15/2022, 06:55:38"
103000238,1.317103654150258 103.84888640803763 1.3164233526759435 103.84775689847758,59,50,B,NORFOLK ROAD,6,"10/15/2022, 06:55:38"
103000239,1.3164233526759435 103.84775689847758 1.317103654150258 103.84888640803763,49,40,B,NORFOLK ROAD,5,"10/15/2022, 06:55:38"
103000242,1.3748784522832425 103.83811376463666 1.3755371440113777 103.8390063090149,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000243,1.3755371440113777 103.8390063090149 1.3748784522832425 103.83811376463666,19,10,C,ANG MO KIO AVENUE 4,2,"10/15/2022, 06:55:38"
103000246,1.3112406329656845 103.82143582576197 1.3118940935550105 103.82204317904964,29,20,D,NASSIM ROAD,3,"10/15/2022, 06:55:38"
103000247,1.3118940935550105 103.82204317904964 1.3112406329656845 103.82143582576197,19,10,D,NASSIM ROAD,2,"10/15/2022, 06:55:38"
103000254,1.3134139917128311 103.82959840334954 1.3129593497249092 103.82975943310102,49,40,E,BALMORAL PARK,5,"10/15/2022, 06:55:38"
103000255,1.3129593497249092 103.82975943310102 1.3134139917128311 103.82959840334954,49,40,E,BALMORAL PARK,5,"10/15/2022, 06:55:38"
103000258,1.3131328782183662 103.82911750896497 1.3129593497249092 103.82975943310102,49,40,C,STEVENS ROAD,5,"10/15/2022, 06:55:38"
103000259,1.3129593497249092 103.82975943310102 1.3131328782183662 103.82911750896497,49,40,C,STEVENS ROAD,5,"10/15/2022, 06:55:38"
103000260,1.3128994765010902 103.85727722633219 1.3134069573818214 103.85667709880157,39,30,E,PETAIN ROAD,4,"10/15/2022, 06:55:38"
103000266,1.3135704480430792 103.8305390230549 1.3129593497249092 103.82975943310102,49,40,D,BALMORAL ROAD,5,"10/15/2022, 06:55:38"
103000267,1.3129593497249092 103.82975943310102 1.3135704480430792 103.8305390230549,39,30,D,BALMORAL ROAD,4,"10/15/2022, 06:55:38"
103000270,1.3129593497249092 103.82975943310102 1.3129482532197405 103.82979421597224,49,40,C,STEVENS ROAD,5,"10/15/2022, 06:55:38"
103000271,1.3129482532197405 103.82979421597224 1.3129593497249092 103.82975943310102,49,40,C,STEVENS ROAD,5,"10/15/2022, 06:55:38"
103000276,1.3131522033523786 103.84591215724936 1.3129397527298754 103.8453609319561,49,40,F,KAMPONG JAVA ROAD,5,"10/15/2022, 06:55:38"
103000282,1.3128915402722743 103.8435107552494 1.3134502209463657 103.8434271564376,39,30,B,KAMPONG JAVA ROAD,4,"10/15/2022, 06:55:38"
103000283,1.3134502209463657 103.8434271564376 1.3128915402722743 103.8435107552494,39,30,B,KAMPONG JAVA ROAD,4,"10/15/2022, 06:55:38"
103000290,1.3133115247400988 103.85513650754488 1.3128657945370725 103.85467601502488,39,30,D,RACE COURSE ROAD,4,"10/15/2022, 06:55:38"
103000291,1.3128657945370725 103.85467601502488 1.3133115247400988 103.85513650754488,39,30,D,RACE COURSE ROAD,4,"10/15/2022, 06:55:38"
103000292,1.3112814046832442 103.8745843404284 1.3128669001147928 103.8740481840283,39,30,E,LORONG 3 GEYLANG,4,"10/15/2022, 06:55:38"
103000298,1.311265024985496 103.83361404903052 1.3114126715258738 103.83387874363073,49,40,E,GOODWOOD HILL,5,"10/15/2022, 06:55:38"
103000299,1.3114126715258738 103.83387874363073 1.311265024985496 103.83361404903052,999,70,E,GOODWOOD HILL,8,"10/15/2022, 06:55:38"
103000300,1.3115941685350712 103.83315772987676 1.311265024985496 103.83361404903052,49,40,F,STEVENS ROAD,5,"10/15/2022, 06:55:38"
103000306,1.3112406329656845 103.82143582576197 1.3116597146848918 103.8212526635276,29,20,D,NASSIM ROAD,3,"10/15/2022, 06:55:38"
103000307,1.3116597146848918 103.8212526635276 1.3112406329656845 103.82143582576197,29,20,D,NASSIM ROAD,3,"10/15/2022, 06:55:38"
103000310,1.311229840433147 103.84910566257994 1.311802597676934 103.84973058015619,19,10,E,RUTLAND ROAD,2,"10/15/2022, 06:55:38"
103000311,1.311802597676934 103.84973058015619 1.311229840433147 103.84910566257994,49,40,E,RUTLAND ROAD,5,"10/15/2022, 06:55:38"
103000312,1.3113680558354108 103.8488917458808 1.311229840433147 103.84910566257994,39,30,E,RUTLAND ROAD,4,"10/15/2022, 06:55:38"
103000316,1.292423970537279 103.86259120957735 1.2912349150968774 103.8623028359393,59,50,F,OPHIR ROAD,6,"10/15/2022, 06:55:38"
103000324,1.2912309351425506 103.86236811495664 1.2918238027402373 103.86295353079224,59,50,F,RAFFLES BOULEVARD,6,"10/15/2022, 06:55:38"
103000330,1.3739406188810974 103.83737872197739 1.3748784522832425 103.83811376463666,49,40,C,ANG MO KIO AVENUE 4,5,"10/15/2022, 06:55:38"
103000331,1.3748784522832425 103.83811376463666 1.3739406188810974 103.83737872197739,19,10,C,ANG MO KIO AVENUE 4,2,"10/15/2022, 06:55:38"
103000334,1.3694747355079808 103.84946957875535 1.369024197584065 103.84972450005914,29,20,C,ANG MO KIO AVENUE 8,3,"10/15/2022, 06:55:38"
103000335,1.369024197584065 103.84972450005914 1.3694747355079808 103.84946957875535,39,30,C,ANG MO KIO AVENUE 8,4,"10/15/2022, 06:55:38"
103000338,1.370561839669548 103.84885708436424 1.3696927152524048 103.84934676362796,29,20,C,ANG MO KIO AVENUE 8,3,"10/15/2022, 06:55:38"
103000339,1.3696927152524048 103.84934676362796 1.370561839669548 103.84885708436424,39,30,C,ANG MO KIO AVENUE 8,4,"10/15/2022, 06:55:38"
103000342,1.3696927152524048 103.84934676362796 1.3694747355079808 103.84946957875535,29,20,C,ANG MO KIO AVENUE 8,3,"10/15/2022, 06:55:38"
103000343,1.3694747355079808 103.84946957875535 1.3696927152524048 103.84934676362796,39,30,C,ANG MO KIO AVENUE 8,4,"10/15/2022, 06:55:38"
103000346,1.3239673531148124 103.92722444692839 1.3236245437060072 103.92726159815368,39,30,C,BEDOK NORTH AVENUE 1,4,"10/15/2022, 06:55:38"
103000347,1.3236245437060072 103.92726159815368 1.3239673531148124 103.92722444692839,39,30,C,BEDOK NORTH AVENUE 1,4,"10/15/2022, 06:55:38"
103000350,1.3240846767490342 103.92720949943045 1.3244923386287593 103.9271573268364,39,30,C,BEDOK NORTH AVENUE 1,4,"10/15/2022, 06:55:38"
103000351,1.3244923386287593 103.9271573268364 1.3240846767490342 103.92720949943045,39,30,C,BEDOK NORTH AVENUE 1,4,"10/15/2022, 06:55:38"
103000354,1.3159382308514525 103.84261245053749 1.315854648211366 103.84294233512517,29,20,E,SURREY ROAD,3,"10/15/2022, 06:55:38"
103000355,1.315854648211366 103.84294233512517 1.3159382308514525 103.84261245053749,19,10,E,SURREY ROAD,2,"10/15/2022, 06:55:38"
103000358,1.3807128617466986 103.84499903089491 1.3807123642926429 103.84500991262863,39,30,C,ANG MO KIO AVENUE 8,4,"10/15/2022, 06:55:38"
103000359,1.3807123642926429 103.84500991262863 1.3807128617466986 103.84499903089491,999,70,C,ANG MO KIO AVENUE 8,8,"10/15/2022, 06:55:38"
103000362,1.3118940935550105 103.82204317904964 1.3126625795883653 103.82252274944035,19,10,D,NASSIM ROAD,2,"10/15/2022, 06:55:38"
103000363,1.3126625795883653 103.82252274944035 1.3118940935550105 103.82204317904964,19,10,D,NASSIM ROAD,2,"10/15/2022, 06:55:38"
103000366,1.315854648211366 103.84294233512517 1.3167136667120711 103.84327853125002,29,20,E,LINCOLN ROAD,3,"10/15/2022, 06:55:38"
103000367,1.3167136667120711 103.84327853125002 1.315854648211366 103.84294233512517,19,10,E,LINCOLN ROAD,2,"10/15/2022, 06:55:38"
103000374,1.3807123642926429 103.84500991262863 1.380684897925153 103.8451761128162,49,40,C,ANG MO KIO AVENUE 8,5,"10/15/2022, 06:55:38"
103000375,1.380684897925153 103.8451761128162 1.3807123642926429 103.84500991262863,999,70,C,ANG MO KIO AVENUE 8,8,"10/15/2022, 06:55:38"
103000378,1.3157272395598174 103.84338520326874 1.315854648211366 103.84294233512517,19,10,E,SURREY ROAD,2,"10/15/2022, 06:55:38"
103000379,1.315854648211366 103.84294233512517 1.3157272395598174 103.84338520326874,19,10,E,SURREY ROAD,2,"10/15/2022, 06:55:38"
103000382,1.3156132848934614 103.84225443085381 1.3159382308514525 103.84261245053749,19,10,E,SURREY ROAD,2,"10/15/2022, 06:55:38"
103000383,1.3159382308514525 103.84261245053749 1.3156132848934614 103.84225443085381,19,10,E,SURREY ROAD,2,"10/15/2022, 06:55:38"
103000386,1.3147915862600077 103.84277519172518 1.3157272395598174 103.84338520326874,29,20,E,WEE NAM ROAD,3,"10/15/2022, 06:55:38"
103000387,1.3157272395598174 103.84338520326874 1.3147915862600077 103.84277519172518,19,10,E,WEE NAM ROAD,2,"10/15/2022, 06:55:38"
103000390,1.291162335870407 103.83939185990795 1.2909587737416484 103.83879622503638,29,20,E,MOHAMAD SULTAN ROAD,3,"10/15/2022, 06:55:38"
103000391,1.2909587737416484 103.83879622503638 1.291162335870407 103.83939185990795,29,20,E,MOHAMAD SULTAN ROAD,3,"10/15/2022, 06:55:38"
103000394,1.2916111381542603 103.83840296152836 1.2909587737416484 103.83879622503638,39,30,E,MARTIN ROAD,4,"10/15/2022, 06:55:38"
103000395,1.2909587737416484 103.83879622503638 1.2916111381542603 103.83840296152836,29,20,E,MARTIN ROAD,3,"10/15/2022, 06:55:38"
103000406,1.2909587737416484 103.83879622503638 1.2896315925323827 103.83812231618583,29,20,E,SAIBOO STREET,3,"10/15/2022, 06:55:38"
103000407,1.2896315925323827 103.83812231618583 1.2909587737416484 103.83879622503638,39,30,E,SAIBOO STREET,4,"10/15/2022, 06:55:38"
103000408,1.304116421073875 103.88129074763484 1.303480947720935 103.88194501182524,999,70,F,STADIUM CRESCENT,8,"10/15/2022, 06:55:38"
103000414,1.3034705740870907 103.85962406762611 1.3041658180712976 103.85918340072986,39,30,E,JALAN KUBOR,4,"10/15/2022, 06:55:38"
